symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DOW,2019-05-14 00:00:00+00:00,52.48,53.0,50.84,51.33,4204519,43.5493609397,43.9808713759,42.1884434104,42.5950590136,4204519,0.0,1.0
DOW,2019-05-15 00:00:00+00:00,52.95,53.325,51.67,51.98,2928861,43.9393799878,44.2505653985,42.8772004527,43.1344470588,2928861,0.0,1.0
DOW,2019-05-16 00:00:00+00:00,52.98,53.55,52.73,53.29,3689745,43.9642748206,44.4372766449,43.7568178802,44.2215214268,3689745,0.0,1.0
DOW,2019-05-17 00:00:00+00:00,50.8,52.52,50.66,52.34,4440775,42.1552502999,43.5825540502,42.0390744132,43.4331850531,4440775,0.0,1.0
DOW,2019-05-20 00:00:00+00:00,50.08,50.54,49.92,50.4,5168422,41.5577743114,41.9394950818,41.4250018695,41.8233191952,5168422,0.0,1.0
DOW,2019-05-21 00:00:00+00:00,50.63,51.19,50.02,50.28,4968460,42.0141795804,42.478883127,41.5079846457,41.7237398637,4968460,0.0,1.0
DOW,2019-05-22 00:00:00+00:00,50.21,50.61,49.965,50.46,3019120,41.6656519204,41.9975830251,41.4623441188,41.8731088609,3019120,0.0,1.0
DOW,2019-05-23 00:00:00+00:00,48.71,49.86,48.21,49.5,4919173,40.4209102777,41.3752122038,40.0059963968,41.0764742095,4919173,0.0,1.0
DOW,2019-05-24 00:00:00+00:00,49.2,49.575,48.44,49.39,2918936,40.827525881,41.1387112917,40.196856782,40.9851931557,2918936,0.0,1.0
DOW,2019-05-28 00:00:00+00:00,48.56,49.43,48.1,49.37,6613184,40.2964361134,41.0183862662,39.914715343,40.9685966005,6613184,0.0,1.0
DOW,2019-05-29 00:00:00+00:00,48.71,49.43,48.01,48.2,3525856,40.4209102777,41.0183862662,39.8400308444,39.9976981192,3525856,0.0,1.0
DOW,2019-05-30 00:00:00+00:00,48.47,48.59,48.02,48.12,3777607,40.8026310481,40.9036484966,40.4238156165,40.5079968235,3777607,0.7,1.0
DOW,2019-05-31 00:00:00+00:00,46.76,48.0,46.75,47.96,3396850,39.3631324079,40.4069793751,39.3547142872,40.3733068923,3396850,0.0,1.0
DOW,2019-06-03 00:00:00+00:00,47.96,47.96,46.85,46.85,5905198,40.3733068923,40.3733068923,39.4388954942,39.4388954942,5905198,0.0,1.0
DOW,2019-06-04 00:00:00+00:00,49.93,49.93,48.64,48.68,7043092,42.0316766708,42.0316766708,40.9457391001,40.9794115829,7043092,0.0,1.0
DOW,2019-06-05 00:00:00+00:00,50.34,50.57,49.05,50.49,6413509,42.3768196196,42.5704363958,41.2908820489,42.5030914302,6413509,0.0,1.0
DOW,2019-06-06 00:00:00+00:00,51.06,51.31,50.15,50.28,6228075,42.9829243103,43.1933773278,42.2168753263,42.3263108954,6228075,0.0,1.0
DOW,2019-06-07 00:00:00+00:00,51.3,51.69,50.87,51.13,5391099,43.1849592071,43.5132659145,42.8229800169,43.0418511552,5391099,0.0,1.0
DOW,2019-06-10 00:00:00+00:00,51.62,52.1,51.58,51.72,5434387,43.4543390696,43.8584088634,43.4206665868,43.5385202767,5434387,0.0,1.0
DOW,2019-06-11 00:00:00+00:00,52.04,52.17,51.56,52.0,5144357,43.8079001392,43.9173357083,43.4038303454,43.7742276563,5144357,0.0,1.0
DOW,2019-06-12 00:00:00+00:00,52.49,52.64,51.68,52.06,3103878,44.1867155708,44.3129873813,43.5048477938,43.8247363806,3103878,0.0,1.0
DOW,2019-06-13 00:00:00+00:00,52.88,52.95,52.04,52.68,4179766,44.5150222782,44.5739491231,43.8079001392,44.3466598642,4179766,0.0,1.0
DOW,2019-06-14 00:00:00+00:00,51.15,52.69,51.0,52.63,3919484,43.0586873966,44.3550779849,42.932415586,44.3045692606,3919484,0.0,1.0
DOW,2019-06-17 00:00:00+00:00,49.35,50.33,49.05,50.06,5787336,41.54342567,42.3684014989,41.2908820489,42.1411122399,5787336,0.0,1.0
DOW,2019-06-18 00:00:00+00:00,49.61,50.57,49.4,49.75,5014237,41.7622968083,42.5704363958,41.5855162735,41.8801504981,5014237,0.0,1.0
DOW,2019-06-19 00:00:00+00:00,48.5,50.24,48.33,49.95,5404141,40.8278854102,42.2926384126,40.6847773583,42.0485129122,5404141,0.0,1.0
DOW,2019-06-20 00:00:00+00:00,48.93,49.59,48.62,49.095,4228328,41.1898646005,41.7454605669,40.9289028587,41.3287635921,4228328,0.0,1.0
DOW,2019-06-21 00:00:00+00:00,48.36,49.27,48.31,48.82,9478466,40.7100317204,41.4760807044,40.6679411169,41.0972652727,9478466,0.0,1.0
DOW,2019-06-24 00:00:00+00:00,49.58,49.7,48.32,48.51,4602352,41.7370424462,41.8380598946,40.6763592376,40.8363035309,4602352,0.0,1.0
DOW,2019-06-25 00:00:00+00:00,49.69,50.223,49.05,49.49,4005218,41.8296417739,42.2783276074,41.2908820489,41.6612793599,4005218,0.0,1.0
